BURY ME A G,2PAC 
NO CHANGES,2PAC 
KRYPTONITE,3 DOORS DOWN 
DANCING QUEEN,ABBA
MAMA MIA,ABBA
ENVOI,ABSYNTHE MINDED
"MY HEROICS, PART ONE",ABSYNTHE MINDED
HIGHWAY TO HELL,AC/DC
THUNDERSTRUCK,AC/DC
WHOLE LOTTA ROSIE,AC/DC
 ROLLING IN THE DEEP,ADELE
SOMEONE LIKE YOU,ADELE
SKYFALL,ADELE 
EINSTEIN BRAIN,ADMIRAL FREEBEE
RAGS 'N RUN,ADMIRAL FREEBEE
TAKE ON ME,A-HA
IRONIC,ALANIS MORISSETTE
YOU OUGHTA KNOW,ALANIS MORISSETTE
CRYING AT THE DISCOTEQUE,ALCAZAR
FALLIN',ALICIA KEYS
EMPIRE STATE OF MIND (FT. JAY-Z),ALICIA KEYS  
I NEED A DOLLAR,ALOE BLACK
FASCINATION,ALPHABEAT 
MATHILDA,ALT J 
BACK TO BLACK,AMY WINEHOUSE
REHAB,AMY WINEHOUSE
VALERIE,AMY WINEHOUSE
MICHELLE,ANOUK
NOBODY'S WIFE,ANOUK
BARBIE GIRL,AQUA 
REBELLION (LIES),ARCADE FIRE
DO I WANNA KNOW,ARCTIC MONKEYS
FLUORESCENT ADOLESCENT,ARCTIC MONKEYS
I BET YOU LOOK GOOD ON THE DANCEFLOOR,ARCTIC MONKEYS
WHEN THE SUN GOES DOWN,ARCTIC MONKEYS
THINK,ARETHA FRANKLIN
SAUDADE PT 2,ARSENAL
WAKE ME UP,AVICII
LEVELS,AVIICI
HARLEM SHAKE,BAAUER
15 FLOORS,BALTHAZAR
DO THEY KNOW IT'S CHRISTMAS?,BAND AID 
POMPEI,BASTILLE
SURFIN' USA,BEACH BOYS
GOD ONLY KNOWS,BEACH BOYS
GOOD VIBRATIONS,BEACH BOYS
I GET AROUND,BEACH BOYS
FIGHT FOR YOUR RIGHT (TO PARTY),BEASTY BOYS
SABOTAGE,BEASTY BOYS
NANTES,BEIRUT
THE FEAR,BEN HOWARD
CRAZY IN LOVE,BEYONCE
IF I WERE BOY,BEYONCE
IRREPLACABLE,BEYONCE
IT'S ALL SO QUIET,BJORK
I THINK I LIKE YOU,BLACK BOX REVELATION
I GOTTA FEELIN,BLACK EYED PEAS
WHERE IS THE LOVE,BLACK EYED PEAS
PARANOID ,BLACK SABBATH
NO DIGGITY,BLACK STREET 
ALL THE SMALL THINGS,BLINK 182
FLUX,BLOC PARTY
ONE MORE CHANCHE,BLOC PARTY
DENIS,BLONDIE
MARIA,BLONDIE
ONE WAY OR ANOTHER,BLONDIE
THE BAD TOUCH,BLOOD HOUND GANG
PARKLIFE,BLUR
SONG 2,BLUR
LIKE A ROLLINGSTONE,BOB DYLAN
THE TIMES THEY ARE A CHANGING,BOB DYLAN
HURRICANE,BOB DYLAN 
NO WOMAN NO CRY,BOB MARLEY
THE SUN IS SHINING,BOB MARLEY FT. FUNK STAR DELUXE
SKINNY LOVE,BON IVER 
IT'S MY LIFE,BON JOVI
LIVIN' ON A PRAYER,BON JOVI
YOU GIVE LOVE A BAD NAME,BON JOVI
DADDY COOL,BONEY M
FREESTYLER,BONFUNK MC'S
I DON'T LIKE MONDAYS,BOOMTOWN RATS
DANSPLAAT,BRAINPOWER
HIT ME BABY ONE MORE TIME,BRITNEY SPEARS
THE RIVER,BRUCE SPRINGSTEEN
BORN IN THE USA,BRUCE SPRINGSTEEN 
BORN TO RUN,BRUCE SPRINGSTEEN 
DANCING IN THE DARK,BRUCE SPRINGSTEEN 
(EVERYTHING I DO) I DO IT FOR YOU,BRYAN ADAMS
SUMMER OF '69,BRYAN ADAMS
PEGGY SUE,BUDDY HOLLY 
GLYCERINE,BUSH 
CALL ME MAYBE,CARLY RAE JEPSEN 
SO GOOD TO ME,CHRIS MALINCHACK
TUBTHUMPING,CHUMBAWAMBA
CLOCKS,COLDPLAY
FIX YOU,COLDPLAY
PARADISE,COLDPLAY
THE SCIENTIST,COLDPLAY
VIVA LA VIDA,COLDPLAY
BAD MOON RISING,CREEDENCE CLEARWATER REVIVAL
KARMA CHAMELEON,CULTURE CLUB
GIRLS JUST WANNA HAVE FUN,CYNDI LAUPER
INSANE IN THE BRAIN,CYPRESS HILL
HOUSEWIFE,DAAN
ICON,DAAN
SWEDISH DESIGNER DRUGS,DAAN
AROUND THE WORLD,DAFT PUNK
GET LUCKY,DAFT PUNK
ONE MORE TIME,DAFT PUNK
9 CRIMES,DAMIEN RICE
NEVER GET ENOUGH,DAS POP
YOU,DAS POP
SPACE ODDITY,DAVID BOWIE
HEROES,DAVID BOWIE 
REBEL REBEL,DAVID BOWIE 
DEZE DONKERE JONGEN KOMT ZO HARD,DE JEUGD VAN TEGENWOORDIG
WATSKEBURT,DE JEUGD VAN TEGENWOORDIG
RING RING RING,DE LA SOUL
IRENE,DE MENS
CHILD IN TIME,DEEP PURPLE
SMOKE ON THE WATER,DEEP PURPLE
ENJOY THE SILENCE,DEPECHE MODE
JUST CAN'T GET ENOUGH,DEPECHE MODE
BOOTYLICIOUS,DESTINY'S CHILD
BUG A BOO,DESTINY'S CHILD
SURVIVOR,DESTINY'S CHILD
INSTANT STREET,dEUS
NOTHING REALLY ENDS,dEUS
ROSES,dEUS
SUDS AND SODA,dEUS
THE ARCHITECT,dEUS
BABY'S ON FIRE,DIE ANTWOORD
ENTER THE NINJA,DIE ANTWOORD
BROTHERS IN ARMS,DIRE STRAITS
SULTANS OF SWING,DIRE STRAITS
WALK OF LIFE,DIRE STRAITS
WHITE NOISE,DISCLOSURE
GOLD DUST (SHY FX EDIT),DJ FRESH 
ORGAN DONOR,DJ SHADOW
9 TO 5,DOLLY PARTON
JOLENE,DOLLY PARTON
I FEEL LOVE,DONNA SUMMER
STIL D.R.E.,DR DRE FT. SNOOP DOGG
SAVE TONIGHT,EAGLE EYE CHERRY
HOTEL CALIFORNIA,EAGLES
